======================================================================
  SMARTSERVICE — SEED CREDENTIALS
  Generated: 6/4/2026, 3:56:50 pm
  NOTE: Providers need admin approval before they can be used.
======================================================================

──────────────────────────────────────────────────────────────────────
  USERS (50)  —  password for all: Password@123
──────────────────────────────────────────────────────────────────────
  #   | Full Name                    | Email                                  | District
──────────────────────────────────────────────────────────────────────
  1   | Ijas Unnithan                | ijasunnithan1.user@smartservice.test   | Thiruvananthapuram
  2   | Hridya Ansari                | hridyaansari2.user@smartservice.test   | Thrissur
  3   | Bindhu Menon                 | bindhumenon3.user@smartservice.test    | Kozhikode
  4   | Midhun Ansari                | midhunansari4.user@smartservice.test   | Palakkad
  5   | Kavya George                 | kavyageorge5.user@smartservice.test    | Idukki
  6   | Rajeev Ramachandran          | rajeevramachandran6.user@smartservice.test | Malappuram
  7   | Vishnu Bhat                  | vishnubhat7.user@smartservice.test     | Wayanad
  8   | Prasad Menon                 | prasadmenon8.user@smartservice.test    | Kozhikode
  9   | Ishan Ali                    | ishanali9.user@smartservice.test       | Kozhikode
  10  | Midhun Chandran              | midhunchandran10.user@smartservice.test | Alappuzha
  11  | Mithun Ramachandran          | mithunramachandran11.user@smartservice.test | Ernakulam
  12  | Dhanesh Warrier              | dhaneshwarrier12.user@smartservice.test | Thiruvananthapuram
  13  | Biju Kurup                   | bijukurup13.user@smartservice.test     | Kollam
  14  | Anju Khan                    | anjukhan14.user@smartservice.test      | Pathanamthitta
  15  | Sreya Rajan                  | sreyarajan15.user@smartservice.test    | Kollam
  16  | Bibin Thomas                 | bibinthomas16.user@smartservice.test   | Wayanad
  17  | Nobin Pillai                 | nobinpillai17.user@smartservice.test   | Palakkad
  18  | Jomon Ansari                 | jomonansari18.user@smartservice.test   | Kozhikode
  19  | Catherine Menon              | catherinemenon19.user@smartservice.test | Wayanad
  20  | Arjun Mathew                 | arjunmathew20.user@smartservice.test   | Thrissur
  21  | Mujeeb Warrier               | mujeebwarrier21.user@smartservice.test | Pathanamthitta
  22  | Hema Jacob                   | hemajacob22.user@smartservice.test     | Ernakulam
  23  | Rajeev Rajan                 | rajeevrajan23.user@smartservice.test   | Thrissur
  24  | Yamuna Kurup                 | yamunakurup24.user@smartservice.test   | Kasaragod
  25  | Uma Hussain                  | umahussain25.user@smartservice.test    | Alappuzha
  26  | Catherine Namboothiri        | catherinenamboothiri26.user@smartservice.test | Thiruvananthapuram
  27  | Kannan Shetty                | kannanshetty27.user@smartservice.test  | Thiruvananthapuram
  28  | Gireesh Vijayan              | gireeshvijayan28.user@smartservice.test | Palakkad
  29  | Kavya Hussain                | kavyahussain29.user@smartservice.test  | Kollam
  30  | Xavier Nair                  | xaviernair30.user@smartservice.test    | Ernakulam
  31  | Tara Joseph                  | tarajoseph31.user@smartservice.test    | Kannur
  32  | Emil Ansari                  | emilansari32.user@smartservice.test    | Thiruvananthapuram
  33  | Gibil Unnithan               | gibilunnithan33.user@smartservice.test | Kozhikode
  34  | Binu Shetty                  | binushetty34.user@smartservice.test    | Idukki
  35  | Arun Hameed                  | arunhameed35.user@smartservice.test    | Thiruvananthapuram
  36  | Priya Hussain                | priyahussain36.user@smartservice.test  | Kozhikode
  37  | Uma Hegde                    | umahegde37.user@smartservice.test      | Idukki
  38  | Abhilash Chandran            | abhilashchandran38.user@smartservice.test | Idukki
  39  | Rahul Vijayan                | rahulvijayan39.user@smartservice.test  | Palakkad
  40  | Jerin Balakrishnan           | jerinbalakrishnan40.user@smartservice.test | Thrissur
  41  | Kavya Menon                  | kavyamenon41.user@smartservice.test    | Kollam
  42  | Fathima George               | fathimageorge42.user@smartservice.test | Kottayam
  43  | Lekha Hameed                 | lekhahameed43.user@smartservice.test   | Thrissur
  44  | Uday Karunakaran             | udaykarunakaran44.user@smartservice.test | Malappuram
  45  | Yogesh Kumar                 | yogeshkumar45.user@smartservice.test   | Kozhikode
  46  | Bindu Krishnan               | bindukrishnan46.user@smartservice.test | Thrissur
  47  | Unni Menon                   | unnimenon47.user@smartservice.test     | Idukki
  48  | Nisha Jacob                  | nishajacob48.user@smartservice.test    | Malappuram
  49  | Xavier Joseph                | xavierjoseph49.user@smartservice.test  | Kollam
  50  | Sandeep Jacob                | sandeepjacob50.user@smartservice.test  | Pathanamthitta


──────────────────────────────────────────────────────────────────────
  PROVIDERS (320)  —  password for all: Password@123
  ⚠  Must be approved by admin before they appear in search.
──────────────────────────────────────────────────────────────────────
  #    | Full Name                    | Email                                  | District        | Professions
──────────────────────────────────────────────────────────────────────
  1    | Neethu Joseph                | neethujoseph1.provider@smartservice.test | Alappuzha       | Roofing, CCTV Installation
  2    | Firoz Rajan                  | firozrajan2.provider@smartservice.test | Thiruvananthapuram | Welding, Gardening
  3    | Ijas Ramachandran            | ijasramachandran3.provider@smartservice.test | Kollam          | Painting
  4    | Amitha Ramachandran          | amitharamachandran4.provider@smartservice.test | Wayanad         | Landscaping, Tiling, Furniture Assembly
  5    | Sandeep Bhat                 | sandeepbhat5.provider@smartservice.test | Alappuzha       | Painting
  6    | Aiswarya Mohan               | aiswaryamohan6.provider@smartservice.test | Malappuram      | Gardening, Laptop Repair, TV Repair
  7    | Dinto Krishnan               | dintokrishnan7.provider@smartservice.test | Malappuram      | Flooring, Painting
  8    | Faisal Mohan                 | faisalmohan8.provider@smartservice.test | Wayanad         | Gardening
  9    | Jibin Shetty                 | jibinshetty9.provider@smartservice.test | Ernakulam       | Refrigerator Repair
  10   | Varsha Chandran              | varshachandran10.provider@smartservice.test | Ernakulam       | Flooring
  11   | Mujeeb Karunakaran           | mujeebkarunakaran11.provider@smartservice.test | Kannur          | Gardening, AC Repair
  12   | Rekha Khan                   | rekhakhan12.provider@smartservice.test | Wayanad         | Cleaning, Refrigerator Repair, Car Service
  13   | Mithun Hussain               | mithunhussain13.provider@smartservice.test | Thrissur        | Landscaping
  14   | Yamuna Khan                  | yamunakhan14.provider@smartservice.test | Kannur          | Roofing, Landscaping, House Shifting
  15   | Ratheesh Pillai              | ratheeshpillai15.provider@smartservice.test | Kannur          | Landscaping
  16   | Deepak Bhat                  | deepakbhat16.provider@smartservice.test | Kannur          | Welding
  17   | Sreya Sivaraman              | sreyasivaraman17.provider@smartservice.test | Wayanad         | Mobile Repair
  18   | Cibin Kurup                  | cibinkurup18.provider@smartservice.test | Palakkad        | Plumbing
  19   | Winson Sivaraman             | winsonsivaraman19.provider@smartservice.test | Malappuram      | Mason, Car Service, Solar Installation
  20   | Elsa Warrier                 | elsawarrier20.provider@smartservice.test | Palakkad        | Plumbing, Electrical
  21   | Anoop Mohan                  | anoopmohan21.provider@smartservice.test | Kasaragod       | Landscaping, Plumbing
  22   | Rajeev Philip                | rajeevphilip22.provider@smartservice.test | Kasaragod       | CCTV Installation
  23   | Tinu Rasheed                 | tinurasheed23.provider@smartservice.test | Wayanad         | TV Repair, Landscaping
  24   | Gireesh Subramaniam          | gireeshsubramaniam24.provider@smartservice.test | Pathanamthitta  | Laptop Repair, Carpet Cleaning
  25   | Akhil Kurup                  | akhilkurup25.provider@smartservice.test | Ernakulam       | Mason
  26   | Gibil Kurup                  | gibilkurup26.provider@smartservice.test | Kasaragod       | Welding
  27   | Umesh Hameed                 | umeshhameed27.provider@smartservice.test | Ernakulam       | Carpenter, Painting
  28   | Sajan George                 | sajangeorge28.provider@smartservice.test | Palakkad        | Solar Installation, Landscaping
  29   | Lekha Mathew                 | lekhamathew29.provider@smartservice.test | Kollam          | Plumbing, Painting
  30   | Jithin Thomas                | jithinthomas30.provider@smartservice.test | Pathanamthitta  | Pest Control, House Shifting
  31   | Jisha Bhat                   | jishabhat31.provider@smartservice.test | Palakkad        | Roofing
  32   | Naveen Thomas                | naveenthomas32.provider@smartservice.test | Kannur          | Painting, CCTV Installation
  33   | Jisha Khan                   | jishakhan33.provider@smartservice.test | Thiruvananthapuram | Flooring
  34   | Faizal Hussain               | faizalhussain34.provider@smartservice.test | Pathanamthitta  | Plumbing, Mason, Carpenter
  35   | Faizal Subramaniam           | faizalsubramaniam35.provider@smartservice.test | Pathanamthitta  | Laptop Repair, Electrical
  36   | Ijas Krishnan                | ijaskrishnan36.provider@smartservice.test | Ernakulam       | Washing Machine Repair, Plumbing
  37   | Gibil Ali                    | gibilali37.provider@smartservice.test  | Kozhikode       | Mason, Carpenter
  38   | Anju Gopalakrishnan          | anjugopalakrishnan38.provider@smartservice.test | Pathanamthitta  | Plumbing
  39   | Unni Pillai                  | unnipillai39.provider@smartservice.test | Thrissur        | TV Repair, AC Repair, Washing Machine Repair
  40   | Deepak Ramachandran          | deepakramachandran40.provider@smartservice.test | Kozhikode       | Cleaning, Home Appliance Repair
  41   | Boban Menon                  | bobanmenon41.provider@smartservice.test | Thrissur        | Plumbing
  42   | Bindhu Joseph                | bindhujoseph42.provider@smartservice.test | Kottayam        | Plumbing
  43   | Gireesh Jacob                | gireeshjacob43.provider@smartservice.test | Palakkad        | House Shifting, CCTV Installation
